HEADING,IMAGE,CONTENT1,LINK,DATE
"පන්දුවෙන් පන්දුවේ ලෝක කුසලාන විස්තර ප්‍රචාරකයා එෆ්.එම් දෙරණයි","http://www.adaderana.lk/sinhala/news_images/1901912216FM%20derana.jpg","2011 ලෝක කුසලාන ක්‍රිකට් තරගාවලියේ නිල ගුවන් විදුලි නාලිකාව ලෙස එෆ්.එම්. දෙරණ තෝරාපත් කර තිබේ.    අන්තර්ජාතික ක්‍රිකට් කවුන්සිල‍ය සහ ශ්‍රී ලංකා ක්‍රික‍ට් ආයතනය එක්ව මෙම තෝරාපත් කරගැනීම සිදුකර ඇත.    පෙබරවාරි 19 වැනිදා ආරම්භ වන ලෝක කුසලාන ක්‍රිකට් තරගාවලිය අප්‍රේල් මස 2 වැනි දින දක්වා පැවැත්වේ.    ඒ අනුව ලෝක කුසලාන ක්‍රිකට් තරගාවලියේ පන්දුවෙන් පන්දුව සියලු තොරතුරු නැවුම් ආකාර‍යකින් ඔබ වෙත ගෙන එන්නට එෆ්.එම්. දෙරණ මේ වන විටත් සූදානම්ය.    කොළඹින් 94.5, රුහු‍‍ණින් 102.3, කන්ද උඩරටින් 99.2, ඌව වෙල්ලස්ස, උතුරු නැගෙනහිර 95.8, උතුරු මැද සහ වයඹින් 92.4 ඔස්සේ ඔබට එෆ්.එම්.දෙරණ ලෝක කුසලාන තරග තොරතුරු සමගින් එකතුවිය හැකිය.    ඒ අනුව කෝටි 2කට අධික ශ්‍රී ලාංකීය ජනතාවට පන්දුවෙන් පන්දුවට 2011 ලෝක කුසලාන තරග විස්තර සඳහා සවන් දිය හැකි එකම ගුවන් විදුලි නාලිකාව වන්නේ එෆ්.එම්. දෙරණයි. -","http://www.adaderana.lk/sinhala/news.php?nid=13766","January 26, 2011 12:34 pm"
"ෆොන්සේකාගේ පෙත්සම් විභාගය මාර්තු 23 ට කල්යයි","http://www.adaderana.lk/sinhala/news_images/520057643fonseka%201.jpg","1 වන යුද අධිකරණයේ විනිසුරුවරුන්ගේ පත්කිරීම අභියෝගයට ලක්කරමින් හිටපු යුද හමුදාපති සරත් ෆොන්සේකා මහතා විසින් ඉදිරිපත් කරන ලද පෙත්සම විභාග කිරීම මාර්තු මස 14 දක්වා කල් තැබීමට අභියාචනාධිකරණය විසින් තීන්දු කර තිබේ.    අදාළ නඩුව අද කැඳවූ අවස්ථාවේ පෙත්සම්කාර සරත් ෆොන්සේකා මහතා වෙනුවෙන් පෙනී සිටි ජනාධිපති නීතිඥ රොමේෂ්ද සිල්වා මහතා අධිකරණය හමුවේ කරුණු දක්වමින් කියා සිටියේ තමන්‍ ගේ සේවාදායකයා අද දින අධිකරණයට ඉදිරිපත් කර නොමැති බැවින් මෙම නඩු විභාගය කල්දමන ලෙසයි.    එම ඉල්ලීමට කන්දෙමින් අභියාචනාධිකරණයේ සභාපති සත්‍යයා හෙට්ටිගේ ප්‍රමුඛ ත්‍රිපුද්ගල අභියාචනාධිකරණ විනිසුරු මඩුල්ල මෙම පෙත්සම් විභාගය මාර්තු මස14 දක්වා කල්තැබීමට නියෝග කරන ලදී.    1වන යුද අධිකරණයේ විනිසුරු මඩුල්ලේ ක්‍රියා කලාපය පක්ෂග්‍රහීව සිදුවන බැවින් එයින් තමාට සාධාරණයක් ඉෂ්ඨ නොවන බවත්,එබැවින් මෙම විනිසුරු මඩුල්ලේ පත්කිරීම බල රහිත කරන ලෙසත් ඉල්ලා ෆොන්සේකා මහතා විසින් මෙම පෙත්සම ගොනු කර තිබිණි.","http://www.adaderana.lk/sinhala/news.php?nid=13774","January 26, 2011 05:23 pm"
"හොර පාරෙන් කෝටි 4 ක සිගරට් ගෙනත්","http://www.adaderana.lk/sinhala/news_images/693667666cigarate.jpg","නීති විරෝධි ලෙස මෙරටට ගෙන එන ලද රුපියල් කෝටි 4 ට අධික සිගරට් තොගයක් රේගුව විසින් සොයාගෙන තිබේ.    නියෝජ්‍ය රේගු අධ්‍යක්ෂ අතුල ලංකාදේව මහතා ප්‍රකාශ කර සිටියේ පෑලියගොඩ ශ්‍රී ලංකා වරාය අධිකාරියේ බහලුම් අංගනයේ කන්ටේනරයක් තුළ බහා තිබියදී මෙම සිගරට් තොගය සොයාගත් බවයි.    ඩුබායිහි සිට මෙරටට ගෙනවිත් ඇති මෙම සිගරට්වල හිමිකරුවෙකු පිළිබඳ මෙතෙක් අනාවරණය වී නොමැති බව අතුල ලංකාදේව මහතා ප්‍රකාශ කළේය.    මේ සම්බන්ධයෙන් වැඩිදුර පරීක්ෂණ මේ වන විටත් ආරම්භ කර ඇති බව ද අතුල ලංකාදේව මහතා වැඩිදුරටත් අද දෙරණට කියා සිටියේය.","http://www.adaderana.lk/sinhala/news.php?nid=13773","January 26, 2011 04:59 pm"
"කොදෙව්-ශ්‍රී ලංකා තරගාවලිය එස්.එස්.සී පිටියට මාරුවෙයි","http://www.adaderana.lk/sinhala/news_images/1876251315SSC.jpeg","බටහිර ඉන්දීය කොදෙව් කණ්ඩායම හා ශ්‍රී ලංකා කණ්ඩායම අතර පවත්වන්නට නියමිතව තිබූණද අධික වර්ෂාව හේතුවෙන් කල්දමන ලද එක් දින ක්‍රිකට් තරගාවලිට එස්.එස්.සී ක්‍රීඩාංගණයේදී පවත්වන්නට තීරණය කර ඇතැයි ශ්‍රී ලංකා ක්‍රිකට් ආයතනය පවසයි. මුලදී දිවා රාත්‍රී තරගාවලියක් ලෙස මෙම තරගාවලිය පවත්වන්නට නියමිතව තිබුණද පසුව එය එක්දින දිවා තරගයක් ලෙස පැවත්වීමට තීරණය කර ඇති බව ශ්‍රී ලංකා ක්‍රිකට් ආයතනයේ ලේකම් නිශාන්ත රණතුංග මහතා පවසයි.    කල්දැමුණු මෙම තරගාවලිය හම්බන්තොට මහින්ද රාජපක්ෂ ක්‍රීඩාංගණයේ සහ කොළඹ ආර්.ප්‍රේමදාස ක්‍රීඩාංගණයේ පවත්වන්නට කටයුතු යොදා තිබුණද එකී ක්‍රීඩාංගණ වල 2011 ලෝක කුසලානයට අදාළ තරග පැවැත්විමට නියමිතව ඇති බැවින් මෙම තීරණය ගන්නට සිදුවූ බව ශ්‍රි ලංකා ක්‍රිකට් ආයතනයේ මාධ්‍ය කළමනාකාර බ්‍රයන් ගෝමස් මහතා පවසයි.    යම් ලෝක කුසලානයක් සඳහා තරග පවත්වන විට අදාළ ක්‍රීඩාංගණයන් අදාළ තරග පැවැත්වීමට මාසයකට ප්‍රථම ජාත්‍යන්තර ක්‍රිකට් කවුන්සිලයට බාරදිය යුතු බවත්,ඉන්පසු ජාත්‍යන්තර ක්‍රිකට් කවුන්සිලයේ අධීක්ෂණය යටතේ ,ජාත්‍යන්තර නීති රීති වලට අනුව මෙම ක්‍රීඩාංගණ විවෘත කළ හැක්කේ ලෝක කුසලානයට තරග වදින කණ්ඩායම් වල පෙර පුහුණු තරග වලට පමණක් බවත් බ්‍රයන් ගෝමස් මහතා පෙන්වාදෙයි.    ඒ අනුව එම ක්‍රීඩාංගණ භාවිතා කළ නොහැකි බැවින් එස්.එස්.සී ක්‍රීඩාංගණයේ එක්දින දිවා තරගයක් ලෙස මෙම ක්‍රිකට් තරගාවලිය පවත්වන බව හෙතෙම අවධාරණය කරයි.    ඒ අනුව බටහිර ඉන්දීය කොදෙව් සහ ශ්‍රී ලංකාව අතර පවත්වන එක් දින දිවා ක්‍රිකට් තරගාවලිය ජනවාරි මස 31,පෙබරවාරි 04 ,පෙබරවාරි 06 යන දින වල කොළඹ එස්.එස්.සී ක්‍රීඩාංගණයේදී මෙම තරග පැවැත්වේ.","http://www.adaderana.lk/sinhala/news.php?nid=13772","January 26, 2011 04:31 pm"
"අපි සමගියි-ආණ්ඩුව අසමගියි","http://www.adaderana.lk/sinhala/news_images/419586399HARIN-fRE-T.jpg","ආණ්ඩුවේ නාමයොජනා මණ්ඩලයේදී මැති ඇමතිවරුන් සහ සංවිධායකවරුන් ගැටුම් ඇති කර ගනිද්දී තම පක්ෂයේ සියලු නායකයින් සමගි සම්පන්නව එකට එක්ව නාමයෝජනා සකස් කිරීමේ කටයුතු සිදුකළ බව එක්සත් ජාතික පක්ෂ පාර්ලිමේන්තු මන්ත්‍රී හරීන් ප්‍රනාන්දු මහතා පවසයි.    එක්සත් ජාතික පක්ෂ නාමයෝජනා මණ්ඩලයේදී විවිධ අදහස් හා යෝජනා මත විවිධ වාද විවාද සහ කරුණු දැක්වීම් පමණක් සිදුවු අතර එසේ වුයේ සියලුදෙනාගේම එකඟතා මත සුදුසුම කණ්ඩායම තෝරා ගැනීම සඳහා පමණක් බව ඔහු පෙන්වා දෙයි.    අද(26)කොළඹ දී පැවති මාධ්‍ය හමුවකදී මන්ත්‍රීවරයා මෙම අදහස් පල කළේය.    ආණ්ඩුවේ නාමයෝජනා මණ්ඩලයේදී මෙන් පක්ෂයේ විනය සහ සම්ප්‍රදාය උල්ලංඝණය කිරීමට තම පක්ෂයේ කිසිවෙකුත් කටයුතු නොකළ බව හරීන් ප්‍රනාන්දු මන්ත්‍රීවරයා එහිදි වැඩිදුරටත් සඳහන් කළේය.","http://www.adaderana.lk/sinhala/news.php?nid=13771","January 26, 2011 04:07 pm"
"නුවරඑළියට තද වැහි-රන්දෙනිගල සහ රන්ටැඹේ වාන් දොරටු ඇරෙයි","http://www.adaderana.lk/sinhala/news_images/900352442randenigalT.jpg","පවතින අධික වර්ෂාපතනය හේතුවෙන් නුවරඑළිය දිස්ත්‍රික්කයේ ජලාශ කිහිපයක වාන් දොරටු විවෘත කිරීමට සිදුව ඇති බව ආපදා කළමනාකරණ මධ්‍යස්ථානය පවසයි.    නුවරඑළිය දිස්ත්‍රික් ආපදා කළමනාකරණ සම්බන්ධීකාරක එරන්දන හේමවර්ධන මහතා ප්‍රකාශ කර සිටියේ රන්දෙනිගල සහ රන්ටැඹේ ජලාශවල වාන් දොරටු කිහිපයක් විවෘත කිරීමට සිදුව ඇති බවයි.    නුවරඑළිය දිස්ත්‍රික්කයේ හඟුරන්කෙත සහ වල‍පනේ යන ප්‍රදේශවලට ඊයේ දිනයේ සිට අධික වර්ෂාවක් ඇද හැලෙන බව වාර්තා වේ.    වර්ෂාවත් සමඟ ප්‍රදේශයේ දැඩි මීදුම් තත්ත්වයක් ද පවතින බව නුවරඑළිය දිස්ත්‍රික් ආපදා කළමනාකරණ මධ්‍යස්ථානය වැඩිදුරටත් ප්‍රකාශ කරයි.","http://www.adaderana.lk/sinhala/news.php?nid=13770","January 26, 2011 03:35 pm"
"ෆොන්සේකාගේ පුටුව තාමත් සුරක්ෂිතයි","http://www.adaderana.lk/sinhala/news_images/1152717252ANURA-KU-t.jpg","සරත් ෆොන්සේකා මහතාගේ මන්ත්‍රී ධුරය අහෝසි වු බවට අධිකරණයෙන් තවමත් තීන්දු කර නොමැති බව ප්‍රජාතන්ත්‍රවාදී ජාතික සන්ධානයේ පාර්ලිමේන්තු මන්ත්‍රී කණ්ඩායම් නායක අනුර කුමාර දිසානායක මහතා පවසයි.    මන්ත්‍රී ධූරය අහෝසි කිරීමට එරෙහිව අභියාචනාධිකරණයේ ගොනුකර ඇති පෙත්සම තවමත් විභාග වෙමින් පවතින බව ඔහු අද(26) පැවති මාධ්‍ය හමුවකට එක්වෙමින් කියා සිටියේය.    සරත් ෆොන්සේකා වෙනුවෙන් අභියාචනාධිකරණයට ගොනු කරනු ලැබූ නඩුවේ මූලික කරුණු දෙකක් ඇතුළත් ව බවත්,එයින් තීන්දුවක් ලැබුණේ පළමු කරුණට අදාළව පමණක් බව මන්ත්‍රීවරයා සඳහන් කළේය.    ඊයේ ශ්‍රේෂ්ඨාධිකරණය විසින් ලංකාවේ ප්‍රථම වරට අපූර්ව තීන්දුවක් ලබා දෙමින් යුද අධිකරණය අප රටේ පිළිගත් අධිකරණ පද්ධතියට ඇතුළත් අධිකරණයක් බවට තීන්දු කළ බව ඔහු පැවසීය.    යුද අධිකරණය අප රටේ පිළිගත් අධිකරණ පද්ධතියට ඇතුළත් අධිකරණයක් නොවන බව තමන් විසින් පෙන්වා දුන් පළමු කරුණ බවත්,දෙවෙනි කරුණ වූයේ පිළිගත් අධිකරණයක් බවට තීන්දු වුවත් එයින් එම අධිකරණයේ ක්‍රියා පටිපාටිය සාධාරණ හෝ යුක්ති සහගත හෝ නොවන හෙයින් ෆොන්සේකා මහතා ගේ මන්ත්‍රී ධූරය අහෝසි නොවන බව යයි දිසානායක මහතා සඳහන් කළේය.    එහෙත් ඒ පිළිබඳ අභියාචනාධිරණය තුළ තාමත් විභාගය සිදුවෙමින් පවතින බව හෙතෙම සිහිපත් කළේය. යුද අධිකරණ ක්‍රියාකාරිත්වය ෆොන්සේකා මහතා ගේ පාර්ශවයට සෑහීමකට පත්විය හැකි ලෙස ක්‍රියාත්මක නොවුණු බැවින් ඒ පිළිබඳ ඉදිරියේදී තම පාර්ශවයේ නීතිඥයින් විසින් අධිකරණය ඉදිරියේ කරුණු දක්වන බවද මන්ත්‍රීවරයා පෙන්වාදෙයි.    සාධාරණය ඉෂ්ඨ කරගත හැක්කේ නීතිමය ක්‍රියා මාර්ග වලින් පමණක් නොවන බවත්,ඉදිරියේදී හෝ යම් සාධාරණයක් ඉටුවිය හැකි බවට වන අපේක්ෂාව හෝ විශ්වාසය පලුදු කරගෙන නොමැති බවත් අනුර කුමාර මහතා කියා සිටියේය.    එසේ වුවද එකී අපේක්ෂාවෙන් හෝ විශ්වාසයෙන් පමණක් සෑහීමකට පත්වෙන්නට තමන් සූදානම් නැති බවත්,එකී අපේක්ෂාව හෝ විශ්වාසය මෙරට ප්‍රජාතන්ත්‍රවාදී ජනතා තීන්දුව හිලව් කරන්නට කිසිසේත්ම සූදානම් නැති බවත්,විශේෂයෙන් ම ෆොන්සේකා මහතා නිදහස් කර ගැනිමේ අරගලයේදී මෙරට ජනතාවට විශේෂ කාර්යය භාර්යයක් පවතින බවත් ප්‍රජාතන්ත්‍රවාදී ජාතික සන්ධානයේ පාර්ලිමේන්තු කණ්ඩායම් නායක අනුර කුමාර දිසානායක මහතා වැඩිදුරටත් කියා සිටියේය.","http://www.adaderana.lk/sinhala/news.php?nid=13769","January 26, 2011 03:28 pm"
"ශ්‍රේෂ්ඨාධිකරණ තීන්දුව එනතුරු රත්වත්තේට එරෙහි නඩුව කල්යයි","http://www.adaderana.lk/sinhala/news_images/448372550anurudda-ratwattr-T.jpg","ශ්‍රේෂ්ඨාධිකරණයෙන් තීන්දුවක් ලැබෙන තුරු හිටපු ආරක්ෂක නියෝජ්‍ය අමාත්‍ය අනුරුද්ධ රත්වත්තේ මහතාට එරෙහිව පනවා ඇති අල්ලස් නඩුව විභාග කිරීම අත්හිටුවීමට කොළඹ මහාධිකරණය අද (26)නියෝග කර තිබේ.    අදාළ නඩුව අද කැඳවු අවස්ථාවේදී විත්තිකාර අනුරුද්ධ රත්වත්තේ මහතා වෙනුවෙන් පෙනී සිටි නීතීඥවරුන් කියා සිටියේ මෙම නඩුවට එරෙහිව අනුරුද්ධ රත්වත්තේ මහතා ශ්‍රේෂ්ඨාධිකරණයට අභියාචනයක් ඉදිරිපත් කර ඇති බවයි.    එම අභියාචනය ඉදිරියේදී විභාගයට ගැනීමට නියමිත බැවින් එහි තීන්දුව ලැබෙන තුරු මෙම අල්ලස් නඩුව විභාගයට ගැනීම අත්හිටුවන ලෙස එම නීතීඥවරු අධිකරණයෙන් ඉල්ලා සිටියහ.    එම ඉල්ලීම සලකා බැලු කොළඹ මහාධිකරණ විනිසුරු ‍සුනිල් රාජපක්ෂ මහතා අදාළ නඩුව විභාග කිරීම අත්හිටුවීමට තීරණය කළ අතර එය නැවත පෙබරවාරි මස 14 වැනිදා කැඳවීමට නියෝග කරන ලදී.    ආරක්ෂක නියෝජ්‍ය අමාත්‍යවරයා වශයෙන් කටයුතු කළ කාලයේ රුපියල් කෝටි තුනකට අධික මුදලක් උපයාගත් ආකාරය හෙළි කිරීමට අපොහොසත් වීම සම්බන්ධයෙන් අනුරුද්ධ රත්වත්තේ මහතාට එරෙහිව අල්ලස් කොමිසම මෙම නඩුව පවරා තිබේ.","http://www.adaderana.lk/sinhala/news.php?nid=13768","January 26, 2011 02:48 pm"
"පොලීසියේ කනෙන් රිංගා චූටි පුතා පැන ගිහින්","http://www.adaderana.lk/sinhala/news_images/1593534639chuti%20putha-running.jpg","නම ගිය අපරාධකරුවෙකු වන""චූටි පුතා"" නමැති අය ගල්කිස්ස උසාවි භූමියෙන් පලාගොස් ඇතැයි ජ්‍යේෂ්ඨ පොලිස් අධිකාරී දයා සමරවීර මහතා පවසයි.    බන්ධනාගාර ගත කර සිටි මොහු අද(26)ගල්කිස්ස අධිකරණයට ඉදිරිපත් කළ බවත්,එහිදී පසු පොලීසිය හා බන්ධනාගාර නිලධාරීන් නොමග යවා පැන ගොස් ඇති බවත් සඳහන් වේ.    චූ‍ටි පුතා පලා යද්දී පොලිස් නිලධාරීන් විසින් වෙඩි තැබූවද වෙඩි ප්‍රහාරයෙන් බේරී ඔහු පලා ගිය බව පොලිස් අධිකාරිවරයා අද දෙරණට කියා සිටියේය.    වරෙන්තු 100 ට වැඩි ප්‍රමාණයක් ඇති නම ගිය මෙම අපරාධකරුවා යළි අත්අඩංගුවට ගැනීම සඳහා ගල්කිස්ස පොලීසිය විසින් විශේෂ මෙහෙයුමක් ආරම්භ කර තිබේ.","http://www.adaderana.lk/sinhala/news.php?nid=13767","January 26, 2011 01:12 pm"
"ආරක්ෂක අමාත්‍යංශය මාරු වෙන්නේ විදෙස් ව්‍යාපෘති දෙකකට ඉඩ ගන්නයි","http://www.adaderana.lk/sinhala/news_images/1534631920change-T.jpg","දැනට ආරක්ෂක අමාත්‍යාංශය පිහිටි කොළඹ ගාලු මුවදොර පරිශ්‍රය විදේශ ආයෝජන ව්‍යාපෘති 2ක් සදහා ලබා දීමට රජය තීරණය කර තිබේ.    ඒ සඳහා කැබිනට් අනුමැතිය හිමි වී ඇති බව රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව ප්‍රකාශ කරයි.    ඒ අනුව එම පරිශ්‍රයේ පිහිටි ආරක්ෂක අමාත්‍යාංශය , ආරක්ෂක මාණ්ඩලික ප්‍රධානී කාර්යාලය සහ යුද හමුදා මූලස්ථානය මෙන්ම නිල නිවාස පහසුකම් සහිත සියලු ආරක්ෂක හමුදා මූලස්ථාන බත්තරමුල්ල අකුරේගොඩ ප්‍රදේශයේ ඉදි කිරීමට තීරණය කර තිබේ.    ඩොලර් මිලියන 1000ක සෘජු ව්‍යාපෘති 2ක් සඳහා ගාලු මුවදොර පිහිටි ආරක්ෂක අමාත්‍යාංශ පරිශ්‍රය ලබා දී ඇති අතර ඉන් ලැබෙන ප්‍රතිපාදන මෙහි ඉදිකිරීම් කටයුතු සඳහා යොදා ගැනීමට නියමිතය.    ජනාධිපති මහින්ද රාජපක්ෂ මහතාගේ යෝජනාවකට අනුව මෙම වැඩසටහන ක්‍රියාත්මක කෙරේ.","http://www.adaderana.lk/sinhala/news.php?nid=13765","January 26, 2011 12:26 pm"
